,iso_code,new_cases_smoothed_per_million,tourist_service_index,cluster,location
0,ALB,15.713000000000001,4.01,6,Albania
1,ARE,24.2785,5.63,12,United Arab Emirates
2,ARG,34.071,4.53,16,Argentina
3,ARM,4.5725,4.33,16,Armenia
4,AUS,1908.6734999999999,6.06,3,Australia
5,AUT,1261.5815,6.66,14,Austria
6,AZE,2.222,3.17,2,Azerbaijan
7,BEL,734.0315,5.2,7,Belgium
8,BGD,0.24,1.95,5,Bangladesh
9,BGR,89.5155,5.95,4,Bulgaria
10,BHR,281.21299999999997,4.56,1,Bahrain
11,BOL,8.812999999999999,3.34,2,Bolivia
12,BRA,93.6395,4.47,16,Brazil
13,BRB,1127.383,4.47,17,Barbados
14,BWA,0.0,3.64,2,Botswana
15,CAN,233.113,6.08,4,Canada
16,CHE,582.8455,6.2,18,Switzerland
17,CHL,166.05,4.31,16,Chile
18,CHN,17.118499999999997,3.51,2,China
19,CMR,0.0,2.2,10,Cameroon
20,COL,5.788,3.82,6,Colombia
21,CRI,98.656,5.37,12,Costa Rica
22,CYP,2291.122,5.65,19,Cyprus
23,DEU,1545.129,5.95,3,Germany
24,DNK,395.81600000000003,4.82,1,Denmark
25,DOM,3.795,4.82,8,Dominican Republic
26,DZA,0.093,1.84,5,Algeria
27,ECU,19.709,4.03,6,Ecuador
28,EGY,5.026,3.22,2,Egypt
29,ESP,231.996,6.56,15,Spain
30,EST,483.166,5.41,7,Estonia
31,ETH,0.243,1.73,5,Ethiopia
32,FIN,799.876,4.66,20,Finland
33,FRA,1926.2175,5.69,3,France
34,GBR,520.905,6.1,18,United Kingdom
35,GEO,64.8815,4.89,8,Georgia
36,GHA,0.2365,2.31,10,Ghana
37,GRC,1092.5925,5.75,11,Greece
38,GTM,34.7285,3.78,6,Guatemala
39,HKG,244.063,4.27,16,Hong Kong
40,HND,3.6340000000000003,3.44,2,Honduras
41,HRV,191.449,6.48,15,Croatia
42,HUN,204.221,4.75,8,Hungary
43,IDN,5.147,3.09,13,Indonesia
44,IND,0.8205,2.78,13,India
45,IRL,433.6545,5.79,4,Ireland
46,IRN,28.674500000000002,2.8,13,Iran
47,ISL,531.852,6.0,18,Iceland
48,ISR,632.7090000000001,5.44,7,Israel
49,ITA,1023.2245,6.01,11,Italy
50,JAM,9.344999999999999,4.9,8,Jamaica
51,JOR,10.308,3.84,6,Jordan
52,JPN,368.564,5.71,4,Japan
53,KAZ,1.222,3.4,2,Kazakhstan
54,KEN,0.2195,2.93,13,Kenya
55,KHM,1.3655,3.24,2,Cambodia
56,KOR,3232.5209999999997,5.55,9,South Korea
57,KWT,20.99,3.88,6,Kuwait
58,LBN,24.7025,3.96,6,Lebanon
59,LKA,2.512,3.26,2,Sri Lanka
60,LTU,484.8895,4.42,20,Lithuania
61,LUX,1343.2505,5.93,11,Luxembourg
62,LVA,423.61249999999995,4.51,1,Latvia
63,MAR,1.752,3.91,6,Morocco
64,MDA,43.7905,2.9,13,Moldova
65,MEX,13.4905,4.81,8,Mexico
66,MKD,67.22200000000001,3.88,6,North Macedonia
67,MLT,1003.1279999999999,5.47,11,Malta
68,MMR,0.95,4.47,16,Myanmar
69,MNE,112.4795,5.51,12,Montenegro
70,MNG,14.310500000000001,2.89,13,Mongolia
71,MUS,506.731,4.97,1,Mauritius
72,MYS,310.45849999999996,4.51,1,Malaysia
73,NGA,0.068,2.49,10,Nigeria
74,NIC,0.0,3.44,2,Nicaragua
75,NLD,454.3695,4.84,1,Netherlands
76,NOR,134.8555,5.15,12,Norway
77,NPL,0.4355,2.25,10,Nepal
78,NZL,1820.681,5.8,3,New Zealand
79,OMN,5.47,4.1,6,Oman
80,PAK,0.56,2.71,13,Pakistan
81,PAN,61.426,4.73,8,Panama
82,PER,14.952,5.34,12,Peru
83,PHL,2.3545,3.6,2,Philippines
84,POL,29.392,4.52,16,Poland
85,PRT,886.12,6.7,14,Portugal
86,PRY,3.255,3.23,2,Paraguay
87,QAT,42.045500000000004,5.03,8,Qatar
88,ROU,78.4015,4.55,16,Romania
89,RUS,85.1395,4.14,6,Russia
90,RWA,0.199,2.31,10,Rwanda
91,SAU,3.082,5.13,12,Saudi Arabia
92,SEN,0.1825,3.13,13,Senegal
93,SGP,639.054,5.12,7,Singapore
94,SLV,7.2540000000000004,3.08,13,El Salvador
95,SRB,153.989,3.91,6,Serbia
96,SUR,8.328,4.47,16,Suriname
97,SVK,630.989,4.42,20,Slovakia
98,SVN,804.9585,5.42,7,Slovenia
99,SWE,58.042,4.77,8,Sweden
100,SYC,691.8265,5.36,7,Seychelles
101,THA,321.892,5.95,4,Thailand
102,TUN,15.679,4.14,6,Tunisia
103,TUR,77.293,5.04,8,Turkey
104,TWN,27.5055,4.76,8,Taiwan
105,TZA,0.03,2.39,10,Tanzania
106,UGA,0.1745,2.28,10,Uganda
107,UKR,0.0,4.29,16,Ukraine
108,URY,122.356,4.82,8,Uruguay
109,USA,106.178,6.56,15,United States
110,VEN,2.9539999999999997,2.96,13,Venezuela
111,VNM,419.006,2.85,13,Vietnam
112,YEM,0.0165,1.87,5,Yemen
113,ZAF,23.0505,4.3,16,South Africa
114,ZMB,4.922499999999999,2.52,10,Zambia
115,ZWE,3.346,2.95,13,Zimbabwe
